District,1979,,,,1980,,,,1981,,,,1982,,,,1983,,,,1984,,,,1985,,,,1986,,,,1987,,,,1988,,,,1989,,,,1990,,,,1991,,,,1992,,,,1993,,,,1994,,,,1995,,,,1996,,,,1997,,,,1998,,,,1999,,,,2000,,,,2001,,,,2002,,,,2003,,,,2004,,,,2005,,,,2006,,,,2007,,,,2008,,,,2009,,,,2010,,,,2011,,,,2012,,,,2013,,,,2014,,,,2015,,,,2016,,,,2017,,,,2018,,,,2019,,,,2020,,,,2021,,,,2022,,,,2023,,,,2024,,,
,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total,Major,Minor,Rainfed,Total
HAMBANTOTA,-,-,-,"9,280",-,-,-,"13,117",-,-,-,"13,043",-,-,-,"13,991",-,-,-,"10,884","11,813","2,590","1,246","15,650","10,063","1,771",746,"12,580","11,984","2,113",915,"15,012","6,653","1,049",327,"8,029","11,818","1,327",596,"13,741","13,949","1,221",319,"15,489","11,517","1,034",536,"13,087","11,556","1,774",509,"13,839","9,003",620,276,"9,900","10,111","1,148",408,"11,667","15,711","1,887",723,"18,321","15,969","2,002",663,"18,634","12,043","1,699",658,"14,400","12,782","1,755",619,"15,155","16,365","1,362",609,"18,336","16,954","1,817",836,"19,608","16,956","2,243",910,"20,109","7,472","1,481",326,"9,279","9,944","1,520",435,"11,899","14,921","2,719",830,"18,470","10,432","2,112",839,"13,383","13,485","2,210",798,"16,492","13,466","2,187",753,"16,406","17,214","2,841",716,"20,771","19,105","3,960","1,386","24,451","17,734","3,002","1,117","21,853","19,460","3,529","1,255","24,244","19,753","4,144","1,363","25,260","16,608","3,255",662,"20,525","20,062","4,833",955,"25,850","17,724","2,388",532,"20,644","19,722","4,741","1,163","25,626","18,537","3,076",429,"22,042","16,940","3,118",714,"20,772","18,919","4,596","1,180","24,695","27,645","3,858",692,"32,195","28,624","4,570",967,"34,161","28,735","4,662","1,093","34,490","28,250","3,920",833,"33,003","27,781","4,128","1,011","32,920","29,173","5,128",945,"35,246"
JAFFNA,-,-,-,"4,556",-,-,-,"4,151",-,-,-,101,-,-,-,"7,132",-,-,-,"6,817",-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-
MANNAR,-,-,-,-,-,-,-,656,-,-,-,105,-,-,-,96,-,-,-,210,531,242,-,773,345,19,-,364,284,80,-,364,9,42,-,51,112,-,739,851,8,1,2,11,-,-,-,11,-,-,-,11,520,-,-,520,44,-,-,44,"1,014",44,-,"1,058",820,85,-,905,418,30,-,448,72,51,-,123,654,70,-,724,647,70,-,717,734,62,-,796,742,64,-,806,"1,044",54,-,"1,098",442,64,-,506,-,-,199,199,939,132,-,"1,071",43,5,-,48,812,22,-,835,828,58,-,886,-,-,-,-,600,-,-,600,"1,749",50,-,"1,799","1,850",-,-,"1,850",861,"1,388",-,"2,248",601,594,-,"1,195","1,480","1,318",-,"2,798",946,"1,054",-,"2,000",-,101,-,101,479,-,-,479,902,13,-,915,"1,594",16,-,"1,610","2,210",522,-,"2,732","1,844",430,-,"2,274","1,982",387,-,"2,369","2,274",704,-,"2,978"
VAVUNIYA,-,-,-,344,-,-,-,289,-,-,-,165,-,-,-,358,-,-,-,212,"2,208","2,276",30,"4,513",93,36,-,129,840,557,-,"1,397",50,22,-,72,191,145,-,335,-,-,-,-,-,-,-,-,-,-,-,465,176,-,-,176,186,62,4,252,743,554,-,"1,296",416,401,-,817,-,-,-,-,22,33,-,55,902,97,-,999,427,395,-,822,384,469,-,853,697,472,-,"1,169",343,314,-,657,543,233,-,776,83,19,-,102,616,699,16,"1,330",291,420,-,710,407,178,-,585,"1,646","2,822",4,"4,472",30,179,-,209,502,325,-,827,"1,418","2,845",9,"4,272",444,300,-,744,"2,195","3,067",7,"5,270",664,619,-,"1,283","2,107","3,541",6,"5,654","1,121",-,-,"1,121",159,312,-,471,283,126,-,409,"1,509",809,-,"2,318",392,"1,076",4,"1,472","2,136","2,866",-,"5,002","2,409","3,047",-,"5,456","2,036","3,494",-,"5,530","3,002","2,514",-,"5,516"
MULLATIVU,-,-,-,"1,533",-,-,-,943,-,-,-,535,-,-,-,"1,407",-,-,-,"1,594","2,819",703,-,"3,522",854,242,-,"1,096","2,021",445,560,"3,027",171,131,-,302,492,113,-,605,150,91,-,241,-,-,-,236,-,-,-,"3,331",408,99,-,507,"1,099",123,-,"1,223","1,745",692,-,"2,437","1,971",339,-,"2,310",204,13,-,217,469,198,-,667,"1,269",308,-,"1,577","1,256",308,-,"1,564","1,217",298,-,"1,515","1,230",304,-,"1,534","2,571",402,-,"2,973","1,203",155,356,"1,714",384,34,68,486,"1,787",461,194,"2,442","1,570",335,712,"2,617","1,282",160,397,"1,839","2,189",445,-,"2,634",-,-,-,-,"1,050",100,-,"1,150","2,603",768,-,"3,371","2,082",500,-,"2,582","2,946",950,-,"3,896",284,140,-,424,"4,351","2,618",-,"6,969","4,059","1,285",-,"5,344",747,158,-,905,"1,235",400,-,"1,635","4,581",681,-,"5,262","4,392","1,069",-,"5,461","5,875","1,508",-,"7,383","5,008","1,883",-,"6,891","4,203","1,549",-,"5,752","6,348","1,858",-,"8,206"
KILLINOCHCHI,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"7,684",37,-,"7,721","5,643",44,-,"5,687","7,408",77,-,"7,485",182,-,-,182,"2,024",32,-,"2,056",97,10,-,107,-,-,-,172,-,-,-,"5,144",233,14,-,247,922,15,-,937,"4,974",51,-,"5,024","2,302",-,-,"2,302",-,-,-,-,922,2,-,925,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,-,"4,726",12,-,"4,738","3,065",109,-,"3,174","4,242",22,-,"4,264","4,685",39,-,"4,724","4,451",37,-,"4,488","3,405",120,-,"3,526","3,642",38,-,"3,681",-,-,-,-,"1,445",23,-,"1,468","6,278",223,-,"6,501","4,797",11,-,"4,808","5,795",30,-,"5,825",324,-,-,324,"6,806",48,-,"6,854","2,382",60,-,"2,442","1,287",64,-,"1,351",948,-,-,948,"9,469",112,-,"9,581","9,963",71,-,"10,034","9,961",110,-,"10,071","10,258",70,-,"10,328","6,807",75,-,"6,882","9,099",110,-,"9,209"
BATTICALOA,-,-,-,"6,654",-,-,-,"8,991",-,-,-,"8,967",-,-,-,"8,479",-,-,-,"9,115","10,423",748,789,"11,959","9,423",571,"1,023","11,017","11,280",899,"1,911","14,090","11,918",973,"1,339","14,230","7,487",87,471,"8,045","12,843",739,504,"14,085",-,-,-,"13,956",-,-,-,"8,392","6,661",536,175,"7,372","9,678",-,771,"10,449","10,372",811,311,"11,494","10,802",789,695,"12,286","8,065",724,366,"9,155","4,930",251,211,"5,392","10,235",538,301,"11,074","12,907","1,067",396,"14,369","13,773","1,180",455,"15,408","12,654","1,275",448,"14,377","13,759","1,311",304,"15,374","17,237","1,402",200,"18,839","15,028","1,251",96,"16,375","15,455","1,253",-,"16,707","14,215",988,22,"15,226","1,906",198,36,"2,141","16,409","1,111",182,"17,702","12,376","2,134","1,510","16,020","17,992","2,580",322,"20,894","19,516","1,560",623,"21,699","19,123","2,444","2,320","23,887","21,878","3,719","1,960","27,556","17,323","2,850",109,"20,282","21,536","3,509","1,915","26,960","22,694","3,483","1,153","27,330","19,024","2,706",481,"22,211","19,159","4,498","1,998","25,655","18,847","3,832","1,826","24,505","22,466","4,479","1,998","28,943","22,103","4,401","1,998","28,502","22,260","4,438","1,998","28,696","29,078","4,418",70,"33,566","29,152","4,430",70,"33,652"
AMPARA,-,-,-,"27,375",-,-,-,"28,805",-,-,-,"23,674",-,-,-,"23,883",-,-,-,"31,116","37,515",641,224,"38,380","35,799",567,184,"36,490","42,326",784,205,"43,315","44,868",676,325,"45,869","39,809",418,60,"40,287","35,729",534,99,"36,361",-,-,-,"37,270","36,724",740,-,"37,464","41,113",622,-,"41,736","43,922",998,-,"44,919","50,418",916,-,"51,396","50,777",981,-,"51,757","50,179",918,-,"51,097","37,814",641,-,"38,455","50,761",739,-,"51,499","50,941",877,25,"51,842","53,613",898,10,"54,521","51,671",985,-,"52,656","50,751","1,211",-,"51,962","50,336","1,452",-,"51,788","54,082","1,487",170,"55,739","54,703","1,436",183,"56,322","53,653","1,308",59,"55,021","52,210","1,423",-,"53,633","58,321","1,662",140,"60,124","44,082","1,053",168,"45,303","57,457","1,656",83,"59,196","59,303","1,709",892,"61,904","57,503","1,671",575,"59,749","61,657","2,517",178,"64,352","41,367","1,730","1,263","44,360","62,046","2,379","1,543","65,968","60,479","2,125","1,399","64,003","43,501","2,221",215,"45,937","39,658","1,900",369,"41,927","53,349","1,524",244,"55,117","58,169","2,131",408,"60,708","59,682","2,468",626,"62,776","60,002","2,273",369,"62,644","60,506","2,304",366,"63,176","60,449","2,270",442,"63,161"
TRINCOMALEE,-,-,-,"11,428",-,-,-,"11,152",-,-,-,"11,190",-,-,-,"8,256",-,-,-,"10,799","15,074",870,59,"16,003","8,961",316,51,"9,328","4,703",501,-,"5,203","3,085",257,-,"3,342","7,217",540,382,"8,139","3,966",4,-,"3,970",-,-,-,"3,529",-,-,-,"5,663","3,943",-,-,"3,943","9,072",67,-,"9,139","11,179",435,-,"11,614","13,342","1,118",-,"14,459","5,676",-,-,"5,676","6,199",67,-,"6,266","11,561",119,-,"11,680","11,984",-,-,"11,984","12,374",534,-,"12,908","12,124",492,-,"12,616","9,719",452,-,"10,171","10,847","1,994",-,"12,841","7,275",67,-,"7,342","13,542","1,552",-,"15,095","9,549",781,-,"10,330","9,925",442,-,"10,368","13,232","1,912",-,"15,145","12,572","1,376",0,"13,947","12,013","1,046",-,"13,059","16,246","2,010",-,"18,256","14,573","1,373",-,"15,946","18,041","4,861",110,"23,012","7,319",-,-,"7,319","17,483","3,821",903,"22,207","16,978","3,985",-,"20,963","7,982",908,-,"8,890","17,291","3,054",8,"20,353","15,252","2,847",-,"18,099","18,500","3,344",268,"22,112","20,223","4,501",515,"25,239","19,599","4,443",449,"24,491","23,787","4,726",136,"28,649","24,761","4,012",-,"28,773"
KURUNEGALA,-,-,-,"11,403",-,-,-,"33,576",-,-,-,"35,041",-,-,-,"43,611",-,-,-,"20,965","8,817","27,421","24,719","60,958","8,990","13,329","17,091","39,010","9,163","9,363","3,823","22,349","3,567","4,212","10,441","18,220","9,415","20,266","23,119","52,800","4,496","5,396","10,591","20,433","9,198","10,457","17,129","36,784","7,838","14,460","19,688","41,986","6,840","13,640","20,497","40,977","7,721","10,331","17,567","35,620","9,543","13,808","5,611","28,963","9,644","20,576","18,280","48,500","6,597","5,644","4,617","16,858","6,416","11,867","15,396","33,679","8,159","8,967","8,168","25,294","8,959","16,794","17,271","43,023","6,248","7,379","4,111","17,738","9,630","12,243","4,695","26,568","9,996","23,316","18,262","51,574","10,125","24,714","18,922","53,761","2,545","6,540","10,097","19,182","9,068","15,010","12,695","36,773","9,868","16,360","7,110","33,338","8,406","6,371","8,003","22,780","13,865","29,687","24,636","68,188","7,005","19,259","20,253","46,516","9,160","23,664","23,562","56,386","12,084","31,500","23,874","67,458","4,776","6,360","4,017","15,153","11,657","22,989","17,653","52,300","10,789","27,290","14,508","52,587","14,550","29,086","17,682","61,318","13,858","21,614","13,884","49,356","4,607","2,395","2,726","9,728","10,916","19,355","16,559","46,830","9,252","12,749","8,763","30,764","13,894","24,293","18,344","56,531","15,601","31,442","20,945","67,988","14,193","22,660","19,728","56,581","14,993","26,925","17,933","59,851","14,474","26,044","16,179","56,697"
